2019-05-26 23:39:01.271,2019-05-26 23:01:57.224
2019-05-26 23:39:04.209,2019-05-26 23:01:57.230
2019-05-26 23:39:07.262,2019-05-26 23:03:45.982
2019-05-26 23:39:13.321,2019-05-26 23:04:58.308
2019-05-26 23:39:16.376,2019-05-26 23:06:14.448
2019-05-26 23:39:19.423,2019-05-26 23:06:21.855
2019-05-26 23:39:22.455,2019-05-26 23:06:27.341
2019-05-26 23:39:25.504,2019-05-26 23:08:01.575
2019-05-26 23:39:28.554,2019-05-26 23:08:01.582
2019-05-26 23:39:31.603,2019-05-26 23:08:09.689
2019-05-26 23:39:34.660,2019-05-26 23:08:12.040
2019-05-26 23:39:01.271,2019-05-26 23:01:57.224
2019-05-26 23:39:04.209,2019-05-26 23:01:57.230
2019-05-26 23:39:07.262,2019-05-26 23:03:45.982
2019-05-26 23:39:13.321,2019-05-26 23:04:58.308
2019-05-26 23:39:16.376,2019-05-26 23:06:14.448
2019-05-26 23:39:19.423,2019-05-26 23:06:21.855
2019-05-26 23:39:22.455,2019-05-26 23:06:27.341
2019-05-26 23:39:25.504,2019-05-26 23:08:01.575
2019-05-26 23:39:28.554,2019-05-26 23:08:01.582
2019-05-26 23:39:31.603,2019-05-26 23:08:09.689
2019-05-26 23:39:34.660,2019-05-26 23:08:12.040
2019-05-26 23:39:01.271,2019-05-26 23:01:57.224
2019-05-26 23:39:04.209,2019-05-26 23:01:57.230
2019-05-26 23:39:07.262,2019-05-26 23:03:45.982
2019-05-26 23:39:13.321,2019-05-26 23:04:58.308
2019-05-26 23:39:16.376,2019-05-26 23:06:14.448
2019-05-26 23:39:19.423,2019-05-26 23:06:21.855
2019-05-26 23:39:22.455,2019-05-26 23:06:27.341
2019-05-26 23:39:25.504,2019-05-26 23:08:01.575
2019-05-26 23:39:28.554,2019-05-26 23:08:01.582
2019-05-26 23:39:31.603,2019-05-26 23:08:09.689
2019-05-26 23:39:34.660,2019-05-26 23:08:12.040
